Restaurant Name,City,Comment,Cuisine Type,Price,Rating,URL,Visited
Nutcracker,Mumbai,"Desserts & Sandwiches & Burrito Bowls, amazing coffee quality. The outlet in palladium is amazing. 7 layered cookie is great",Bakery,$$$,⭐⭐⭐⭐,,Yes
Queen's Margherita Pizza,Mumbai,,Pizza,,⭐⭐⭐⭐,,Yes
Pass the salt,Mumbai,Deep Dish Pizza Chicago Style,Pizza,,⭐⭐⭐⭐,https://www.instagram.com/reel/DOnF3alER6x/?igsh=bXVsY3NmaTNqNThl,No
"Ananda Stall, Andheri
",Mumbai,Dosa,Street Food,$,,,Yes
"Ram Ashray and Madras Cafe and Mysore Cafe, Matunga
",Mumbai,"South Indian Food, Podi Idli and Filter Coffee",Street Food,$,,,Yes
Leopold Cafe,Mumbai,"Old School vibes, reminded me of what Bombay might have felt like back in the 80’s",Cafe,$$,⭐⭐⭐,,Yes
Butterfly High,Mumbai,Aesthetics - Great Bar - Food was top notch - Lotus Stems and Bao’s were amazing - Great wine collection,Bar,$$$,⭐⭐⭐⭐,,Yes
"Hitchki ",Mumbai,"Amazing Party vibes on a friday night, decent food, great drinks ",Bar,$$$,⭐⭐⭐⭐,,Yes
Capital Social,Mumbai,"Typical Social, Restaurant Layout stood out, bar on the side with high tables on in the centre",Bar,$$$,⭐⭐⭐,,Yes
"Rude Lounge, Powai",Mumbai,"Powai and Navi mumbai (half decent food) - Powai Rude is on a rooftop, open air style restaurant",Bar,$$,⭐⭐⭐,,Yes
"Maderia and Mime, Powai",Mumbai,"Great Aesthetics, good cocktails and great bar, Food is absolutely great, 3 cheese Mac & Cheese","American, Bar, Fusion",$$$,⭐⭐⭐⭐,,Yes
Mirchi and Mime,Mumbai,"Good aesthetics, a little more open layout, indian style food",Indian,$$$,⭐⭐⭐⭐,,Yes
Lord of the drinks,Mumbai,"Typical LOTD, luxurious layout, garish furnishings, amazing bar setup and drinks",Bar,$$$,⭐⭐⭐,,Yes
Powai Social,Mumbai,"Stuffed up, typical social menu and drinks",Bar,$$$,⭐⭐⭐⭐,,Yes
"Episode One, Powai",Mumbai,,Bar,$$$,⭐⭐⭐⭐,,Yes
The Finch,Mumbai,,Bar,$$$,⭐⭐⭐⭐,,Yes
"Shy, Chembur",Mumbai,,,,,https://www.instagram.com/reel/CowNEFmjYqJ/?igshid=YmMyMTA2M2Y=,No
Hakassan,Mumbai,,,,,https://www.instagram.com/reel/Co4pMyhAfIj/?igshid=YmMyMTA2M2Y=,No
Bombay brassiere,Mumbai,"Good Indian food, excellent galaowti kabab and malai chicken. Good wine selection. The vibe is amazing and great ambience. Veg options were mid.","Bar, Indian",$$$,⭐⭐⭐⭐,https://www.instagram.com/reel/CougInmjqjD/?igshid=YmMyMTA2M2Y=,Yes
"Amazonia, BKC",Mumbai,,,,,https://www.instagram.com/reel/CoAVBwODU1X/?igshid=YmMyMTA2M2Y=,No
Joey's Pizza,Mumbai,,Pizza,,⭐⭐⭐⭐,,Yes
1441 Pizzeria,Mumbai,,Pizza,,⭐⭐⭐⭐,,Yes
Versova Social,Mumbai,,Bar,,⭐⭐⭐,,Yes
"9 se 12, Vashi",Mumbai,,Bar,,⭐⭐⭐,,Yes
"Flamingo, Navi Mumbai",Mumbai,,Bar,,⭐⭐,,Yes
"Hard Rock Cafe, Seawoods ",Mumbai,,"American, Bar",,⭐⭐⭐⭐,,Yes
"Poco Loco, Grant Road",Mumbai,,Mexican,,⭐⭐⭐⭐,,Yes
"Eve, Powai & Worli",Mumbai,"Amazing aesthetics, very old skool and vintage setup, open seating and delicious food, excellent presentation, well curated menu",,,⭐⭐⭐⭐,,Yes
"Pop Tates, Kamala Mills ",Mumbai,"Typical Pop Tates, good offers on drinks, good sizzlers, don’t try the wine flavored chicken wings",American,,⭐⭐,,Yes
"Millo, Kamala Mills",Mumbai,Cozy Aesthetics - Elaborate Drinks Menu - Pure Veg,,,⭐⭐⭐,,Yes
Bombay Canteen,Mumbai,"Fine Dine - had jhakkas (similar to Social ka Sugarcane based cocktail, canteen negroni, chilled sea bass sevpuri, and ghee roast)","Bar, Fusion, Indian",,⭐⭐⭐⭐⭐,,Yes
"The Beer Cafe, Churchgate",Mumbai,,Bar,,⭐⭐⭐,,Yes
Bombay Martini,Mumbai,,,,,,No
Younion,Mumbai,,Bar,,⭐⭐⭐,,Yes
Brewdog,Mumbai,,Bar,,⭐⭐⭐,,Yes
Bombay Cartel,Mumbai,,,,,,No
Asian Kitchen by Mainland China,Mumbai,,Chinese,,⭐⭐⭐,,Yes
Kyma,Mumbai,"Great food, but haven’t been here in person",,,,https://www.instagram.com/reel/CoKTI0Qj89a/?igshid=YmMyMTA2M2Y=,Yes
All elements,Mumbai,,,,,https://www.instagram.com/p/CqH6X9QP8NU/?igshid=YmMyMTA2M2Y=,No
Banyan tree cafe,Mumbai,,Cafe,,,https://www.instagram.com/reel/CpwnM-Fo6Dk/?igshid=YmMyMTA2M2Y=,No
